doc_number,corpus_size,vocab_count
1507,746396,62445
1508,746762,62457
1509,747658,62500
1510,747936,62514
1511,748887,62537
1512,749084,62543
1513,749277,62544
1514,749546,62549
1515,749703,62554
1516,750968,62634
1517,751207,62651
1518,751393,62662
1519,751556,62664
1520,752464,62697
1521,752805,62717
1522,753008,62719
1523,753245,62761
1524,753439,62795
1525,753881,62806
1526,754071,62807
1527,754329,62813
1528,754582,62850
1529,754754,62851
1530,755106,62863
1531,756842,62930
1532,757229,62943
1533,757565,62957
1534,758190,62976
1535,758320,62977
1536,758499,62978
1537,758725,62989
1538,758866,62995
1539,759349,63028
1540,759810,63043
1541,759996,63048
1542,760263,63061
1543,760544,63096
1544,760791,63104
1545,761081,63114
1546,761433,63126
1547,761670,63128
1548,762078,63313
1549,762716,63338
1550,762908,63362
1551,763330,63375
1552,766413,63465
1553,766745,63488
1554,766966,63497
1555,767328,63509
1556,767551,63516
1557,767784,63523
1558,767938,63527
1559,768408,63569
1560,768775,63582
1561,769078,63595
1562,770160,63637
1563,770767,63657
1564,771539,63691
1565,772442,63732
1566,773419,63762
1567,773574,63765
1568,774030,63865
1569,774404,63879
1570,775535,63897
1571,775707,63899
1572,776106,63910
1573,776903,63956
1574,777435,63968
1575,777587,63970
1576,777873,64044
1577,778023,64045
1578,778237,64052
1579,778850,64083
1580,779117,64090
1581,779214,64093
1582,779754,64109
1583,779918,64112
1584,780068,64115
1585,780268,64119
1586,780430,64123
1587,780675,64126
1588,781026,64134
1589,781182,64136
1590,783724,64280
1591,783955,64293
1592,784353,64307
1593,784688,64315
1594,786044,64349
1595,786221,64357
1596,786803,64374
1597,786997,64378
1598,791768,64479
1599,791928,64484
1600,792641,64516
1601,792895,64522
1602,793074,64563
1603,794981,64618
1604,795262,64639
1605,795991,64677
1606,796181,64686
1607,796458,64692
1608,797202,64730
1609,797435,64751
1610,797703,64763
1611,798499,64780
1612,798747,64788
1613,799101,64813
1614,799443,64813
1615,799561,64816
1616,799721,64819
1617,800230,64849
1618,800398,64859
1619,800825,64907
1620,801282,64940
1621,801745,64954
1622,802055,64960
1623,802408,64967
1624,802930,64983
1625,803939,65005
1626,804438,65026
1627,804573,65029
1628,804799,65035
