doc_number,corpus_size,vocab_count
1425,727449,58683
1426,727681,58726
1427,727835,58733
1428,728602,58765
1429,729413,58797
1430,729831,58817
1431,730007,58822
1432,730492,58837
1433,730891,58866
1434,731206,58877
1435,731409,58881
1436,731578,58887
1437,731741,58895
1438,731973,58903
1439,732251,58908
1440,732447,58916
1441,732786,58936
1442,733021,58936
1443,733508,58951
1444,734020,58977
1445,734403,59000
1446,734619,59003
1447,735432,59023
1448,736196,59040
1449,736666,59052
1450,737980,59130
1451,740506,59221
1452,741022,59255
1453,742099,59300
1454,743443,59346
1455,744000,59364
1456,744182,59368
1457,744690,59378
1458,745098,59401
1459,745456,59426
1460,745597,59427
1461,745741,59428
1462,745870,59429
1463,746151,59446
1464,747117,59467
1465,747332,59470
1466,747762,59492
1467,748518,59507
1468,748953,59511
1469,749219,59520
1470,749545,59564
1471,749707,59568
1472,750160,59588
1473,750272,59592
1474,750769,59615
1475,750929,59618
1476,751183,59636
1477,751406,59644
1478,751887,59666
1479,752076,59668
1480,752403,59692
1481,752632,59724
1482,752824,59729
1483,753419,59741
1484,753565,59743
1485,754590,59778
1486,754762,59778
1487,755047,59785
1488,755248,59788
1489,755665,59801
1490,755848,59803
1491,756284,59824
1492,756825,59842
1493,757651,59900
1494,757836,59906
1495,757983,59912
1496,758112,59915
1497,758619,59934
1498,759049,59955
1499,759527,59980
1500,761077,60036
1501,761363,60049
1502,761801,60066
1503,762919,60117
1504,763322,60175
1505,763510,60182
1506,764182,60197
1507,764299,60197
1508,764513,60201
1509,764781,60220
1510,765286,60255
1511,765439,60263
1512,765953,60281
1513,766142,60289
1514,766328,60291
1515,766491,60309
1516,766685,60318
1517,766842,60318
1518,767007,60323
1519,767182,60333
1520,767554,60354
1521,769902,60478
1522,770851,60511
1523,770983,60514
1524,771429,60526
1525,771696,60569
1526,772279,60599
1527,772504,60606
1528,772765,60620
1529,772916,60624
1530,773433,60664
1531,773670,60672
1532,773822,60672
1533,774092,60681
1534,774419,60693
1535,775118,60731
1536,775256,60735
1537,775434,60738
1538,775589,60744
1539,775896,60761
1540,776179,60767
1541,776407,60828
1542,776576,60833
1543,776928,60850
1544,777323,60866
1545,777508,60875
1546,777809,60883
1547,777997,60887
1548,778492,60900
1549,778715,60922
1550,778868,60925
1551,779054,60928
1552,779252,60933
1553,779534,60945
1554,780078,60956
1555,780490,60978
1556,780738,60990
1557,781528,61030
1558,781814,61052
1559,782216,61061
1560,783111,61203
1561,783466,61225
1562,783768,61237
1563,785184,61405
1564,785454,61407
1565,785793,61412
1566,786742,61434
1567,786895,61434
1568,787415,61449
1569,788045,61454
1570,788275,61464
1571,788471,61477
1572,788614,61484
1573,789187,61515
1574,789449,61531
1575,789653,61539
1576,789827,61541
1577,789951,61543
1578,790890,61604
1579,791228,61613
1580,791392,61617
1581,791558,61620
1582,792498,61647
1583,792724,61655
1584,793058,61679
1585,793832,61737
1586,794027,61744
1587,794591,61765
1588,795314,61792
1589,795473,61804
1590,796757,61870
1591,796955,61874
1592,797760,61912
1593,798010,61954
1594,798183,61964
1595,798645,61969
1596,798840,61993
1597,799018,61994
1598,799947,62023
1599,800143,62028
1600,801802,62123
1601,802032,62130
1602,802775,62208
1603,804097,62266
1604,804450,62296
1605,804697,62298
1606,805097,62313
1607,805461,62342
1608,805809,62428
1609,806500,62444
1610,806705,62451
1611,807079,62468
1612,807190,62472
1613,810215,62575
1614,810337,62576
1615,810585,62584
1616,810702,62586
1617,810890,62594
1618,810998,62604
1619,811099,62614
1620,811271,62620
1621,811943,62649
1622,812209,62662
1623,812342,62672
1624,812551,62681
1625,813350,62712
1626,813555,62721
1627,814010,62759
1628,814200,62764
1629,814718,62891
1630,815385,62914
1631,815583,62921
1632,815823,62924
1633,816605,62962
1634,816774,62980
1635,817052,62991
1636,817222,63000
1637,817458,63009
1638,817588,63010
1639,818096,63037
1640,818400,63105
1641,818840,63185
1642,819161,63203
1643,819344,63206
1644,819864,63230
1645,821099,63374
1646,821305,63395
1647,821511,63402
1648,821638,63408
1649,822443,63445
1650,822555,63449
1651,822770,63453
1652,823040,63468
1653,823189,63473
1654,823459,63479
1655,823771,63505
1656,824244,63580
1657,825032,63603
1658,825153,63603
